id,year,downloads,title,author,lang,subject
2701,1869,188210,"Moby Dick; Or, The Whale","Melville, Herman",en,lit
1342,1817,183505,Pride and Prejudice,"Austen, Jane",en,lit
2641,1929,142569,A Room with a View,"Forster, E. M. (Edward Morgan)",en,lit
1727,-700,139227,The Odyssey Rendered into English prose for the use of those who cannot read the original,Homer,en,lit
1513,1614,132311,Romeo and Juliet,"Shakespeare, William",en,lit
34413,1797,126102,The Love Letters of Mary Wollstonecraft to Gilbert Imlay,"Wollstonecraft, Mary",en,lit
2554,1871,125245,Crime and Punishment,"Dostoyevsky, Fyodor",en,lit
3268,1814,117670,The Mysteries of Udolpho,"Radcliffe, Ann Ward",en,lit
2465,1853,112176,Carmen,"Mérimée, Prosper",en,lit
65238,1940,112143,The Secret of Chimneys,"Christie, Agatha",en,lit
21839,1817,107602,Sense and Sensibility,"Austen, Jane",en,lit
2868,1909,106137,The Green Mummy,"Hume, Fergus",en,lit
1661,1909,105900,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",en,lit
59828,1884,104191,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.","Rymer, James Malcolm",en,lit
1260,1855,103010,Jane Eyre: An Autobiography,"Brontë, Charlotte",en,lit
19476,1906,100540,A Honeymoon in Space,"Griffith, George Chetwynd",en,lit
22541,1975,99345,The Misplaced Battleship,"Harrison, Harry",en,lit
67979,1924,98187,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",en,lit
45839,1897,97893,Dracula,"Stoker, Bram",en,lit
5197,1863,95789,My Life - Volume 1,"Wagner, Richard",en,arts
31100,1817,95700,The Complete Project Gutenberg Works of Jane Austen A Linked Index of all PG Editions of Jane Austen,"Austen, Jane",en,lit
11,1882,94492,Alice's Adventures in Wonderland,"Carroll, Lewis",en,lit
100,1614,93902,The Complete Works of William Shakespeare,"Shakespeare, William",en,lit
601,1818,93858,The Monk: A Romance,"Lewis, M. G. (Matthew Gregory)",en,lit
47530,1862,92938,"Oliver Twist, Vol. 2 (of 3)","Dickens, Charles",en,lit
3011,1821,89724,The Lady of the Lake,"Scott, Walter",en,lit
42671,1817,89612,Pride and Prejudice,"Austen, Jane",en,lit
345,1897,89208,Dracula,"Stoker, Bram",en,lit
1695,1924,89014,The Man Who Was Thursday: A Nightmare,"Chesterton, G. K. (Gilbert Keith)",en,lit
6133,1914,88520,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice",en,lit
36462,1471,88352,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",en,lit
2680,171,87287,Meditations,"Marcus Aurelius, Emperor of Rome",en,phil
62215,1918,87013,Le Fantôme de l'Opéra,"Leroux, Gaston",fr,lit
37106,1882,86348,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",en,lit
24793,1915,84994,Blow The Man Down: A Romance Of The Coast,"Day, Holman",en,lit
145,1869,84181,Middlemarch,"Eliot, George",en,lit
18143,1614,83550,Roméo et Juliette Tragédie,"Shakespeare, William",fr,lit
40284,1986,82613,The Sex Life of the Gods,"Knerr, M. E. (Michael E.)",en,lit
53874,1872,81959,Under the Red Dragon: A Novel,"Grant, James",en,lit
72,1925,81388,"Thuvia, maid of Mars","Burroughs, Edgar Rice",en,lit
468,1747,80853,Manon Lescaut,"Prévost, abbé",en,lit
76639,1762,79893,"Eloisa : $b or, A series of original letters","Rousseau, Jean-Jacques",en,lit
43,1894,79438,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",en,lit
31635,1913,79146,The Silent Barrier,"Tracy, Louis",en,lit
8492,1915,78814,The King in Yellow,"Chambers, Robert W. (Robert William)",en,lit
31472,1913,78793,Cynthia's Chauffeur,"Tracy, Louis",en,lit
28203,1882,78042,Moods,"Alcott, Louisa May",en,lit
2620,1922,78028,The Home Book of Verse - Volume 2,"Stevenson, Burton Egbert",en,lit
17460,1875,77685,Lorna Doone: A Romance of Exmoor,"Blackmore, R. D. (Richard Doddridge)",en,lit
31257,1900,77584,"Dainty's Cruel Rivals; Or, The Fatal Birthday","Miller, Alex. McVeigh, Mrs.",en,lit
75201,1949,77348,A farewell to arms,"Hemingway, Ernest",en,lit
1184,1852,77283,The Count of Monte Cristo,"Dumas, Alexandre",en,lit
32155,1541,77027,The Love Letters of Henry VIII to Anne Boleyn; With Notes,"Henry VIII, King of England",en,hist
18459,1527,76687,Hypnerotomachia: The Strife of Loue in a Dreame,"Colonna, Francesco",en,lit
20203,1756,76567,Autobiography of Benjamin Franklin,"Franklin, Benjamin",en,hist
42,1894,76206,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",en,lit
33823,1931,76097,The Gay Adventure: A Romance,"Bird, Richard",en,lit
564,1862,75993,The Mystery of Edwin Drood,"Dickens, Charles",en,lit
18875,1924,75422,The Prairie Wife,"Stringer, Arthur",en,lit
3296,404,75317,The Confessions of St. Augustine,"Augustine, of Hippo, Saint",en,phil
36725,1886,74908,On the Cross: A Romance of the Passion Play at Oberammergau,"Hillern, Wilhelmine von",en,lit
35548,1890,74907,Doctor Cupid: A Novel,"Broughton, Rhoda",en,lit
35312,1838,74891,Aus dem Leben eines Taugenichts: Novelle,"Eichendorff, Joseph, Freiherr von",de,lit
71046,1893,74682,"Modern English biography, volume 2 (of 4), I-Q","Boase, Frederic",en,hist
36223,1928,74655,The Boy with Wings,"Ruck, Berta",en,lit
1259,1852,74574,Twenty years after,"Dumas, Alexandre",en,lit
38311,1922,74362,What Will People Say? A Novel,"Hughes, Rupert",en,lit
51428,1913,74360,That Which Hath Wings: A Novel of the Day,"Dehan, Richard",en,lit
18857,1878,73986,A Journey to the Centre of the Earth,"Verne, Jules",en,lit
23784,1902,73939,The History of Sir Richard Calmady: A Romance,"Malet, Lucas",en,lit
27475,1916,73734,That Girl Montana,"Ryan, Marah Ellis",en,lit
38177,1933,73720,The Passionate Elopement,"MacKenzie, Compton",en,lit
27997,1906,73615,Robert Orange Being a Continuation of the History of Robert Orange,"Hobbes, John Oliver",en,lit
48296,1898,73431,Linnet: A Romance,"Allen, Grant",en,lit
2002,1856,73359,Sonnets from the Portuguese,"Browning, Elizabeth Barrett",en,lit
49987,1860,72840,Forest Days: A Romance of Old Times,"James, G. P. R. (George Payne Rainsford)",en,lit
48320,1909,72820,Adventures of Sherlock Holmes Illustrated,"Doyle, Arthur Conan",en,lit
50285,1930,72442,"Dr. Mabuse, der Spieler : $b Roman","Jacques, Norbert",de,lit
46276,1868,72351,The Treasure of Pearls: A Romance of Adventures in California,"Aimard, Gustave",en,lit
42389,1821,72308,The Pirate Andrew Lang Edition,"Scott, Walter",en,lit
